,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,height_cm,weight,weight_kg,draft_round,draft_pick,3PM_ratio,avg_height_cm,avg_weight,avg_BMI,Pts/Game,Ast/Game,FGA/Game,FGM/Game,ORB/Game,DRB/Game,REB/Game,MIN/Game,3PM/Game,3PA/Game,FTA/Game,FTM/Game,TOV/Game,PF/Game,STL/Game,BLK/Game,Type
9,2008 - 2009,1499,39907.0,5795,12757,1136,3176,3328,4358,2046,3649,1614,4904,6518,3154,1152,787,16054,277340.0,28100.0,31216.0,14158.0,158.0,1564.0,0.19603106125970665,200.71428571428572,222.97142857142856,25.102518965058703,96.54847520485129,18.968100834440072,76.72037487157641,34.851028641591704,9.706567770065401,29.492570225774926,39.199137995840324,26.62241494329553,6.831884130603654,19.100408449645425,26.208935775678455,20.014533791064224,12.304608214097778,21.945022176560503,6.928107850753,4.7330042348460175,Playoffs
10,2009 - 2010,1457,38215.29999999998,5624,12398,1072,3049,3274,4349,1972,3618,1667,4736,6403,3139,1063,795,15594,279408.0,28274.0,31727.0,14393.0,155.0,1564.0,0.1906116642958748,200.52482269503545,225.01418439716312,25.386096741079026,97.93355017492999,19.713570219257743,77.8620081485688,35.319884967539195,10.469105305990015,29.743061025296164,40.21216633128618,26.228757721345218,6.732382056401497,19.14835157646284,27.312620861278088,20.561398183450095,12.384568484350515,22.721789440355053,6.675860192122007,4.992764678021633,Playoffs
11,2010 - 2011,1438,38220.200000000004,5377,12237,962,2826,3191,4113,2012,3334,1713,4693,6406,2935,1108,849,14907,285511.0,28952.0,32358.0,14675.0,164.0,1706.0,0.17891017295889902,201.05555555555554,224.70833333333334,25.210616254927317,93.60704548903459,18.430044845395887,76.8410421714172,33.764344508924594,10.756615611639917,29.46923354665857,40.22584915829849,26.57872044506259,6.040784715935552,17.745590028309635,25.82718039152071,20.03757175524984,12.6341568071334,20.93552624005107,6.957577406711634,5.331212290882831,Playoffs
12,2011 - 2012,1544,39577.899999999965,5687,12943,969,2908,2955,3916,2084,3437,1718,5059,6777,3036,1204,906,15298,297519.0,30103.0,33632.0,15252.0,169.0,1821.0,0.17038860559170038,200.68666666666667,224.21333333333334,25.24634417172601,92.76692295447721,18.41027442082578,78.48622589879713,34.4859125926338,10.417935261850689,30.677726711119114,41.09566197296979,25.63335492227977,5.876006559216133,17.63408366790559,23.746585847152094,17.91909120999347,12.637355695981858,20.841934513958567,7.301044269655547,5.493975173013228,Playoffs
13,2012 - 2013,1506,39590.09999999997,5756,12992,1168,3351,2978,3948,2149,3574,1703,5029,6732,3167,1153,792,15658,279774.0,28254.0,31504.0,14286.0,156.0,1744.0,0.2029186935371786,200.38297872340425,223.43262411347519,25.233057467658725,94.92069987193776,19.19873907870909,78.75908371032159,34.89357187781797,10.323793069479498,30.486409481158194,40.81020255063769,26.28824701195217,7.080558018292457,20.31416945145379,23.933256041283066,18.052998098009365,13.0274992990672,21.66602256624764,6.9896261944274,4.801200300075023,Playoffs
14,2013 - 2014,1689,42062.69999999998,6369,13932,1396,3871,3288,4297,2207,3776,1755,5338,7093,3468,1231,757,17422,295749.0,29912.0,33414.0,15157.0,173.0,1800.0,0.21918668550792902,200.751677852349,224.25503355704697,25.241119604758786,99.4058869259463,19.787602792973356,79.492757240976,36.34003523311629,10.013622520665583,30.457388612713892,40.47101113337947,24.903907637655408,7.965251873988121,22.08702722364471,24.51768431413106,18.760564585725604,12.592629574421048,21.54497928093062,7.023800184011015,4.319266238258602,Playoffs
15,2014 - 2015,1415,37933.8,5809,13262,1382,3993,2877,3957,1998,3350,1731,5340,7071,3427,1191,842,15877,280089.0,28329.0,31556.0,14316.0,165.0,1711.0,0.23790669650542262,200.91489361702128,223.80141843971631,25.152335281692444,100.45078531547064,21.681982822706924,83.90617338626765,36.752447685177856,10.951710611644495,33.78517311737817,44.736883729022665,26.808339222614844,8.743653417269032,25.262958100691204,25.035192888663936,18.202236527845876,12.640969267513405,21.194818341426377,7.5352324312354675,5.327175236860003,Playoffs
16,2015 - 2016,1635,39901.90000000001,6101,13829,1526,4298,2955,3934,2055,3447,1726,5372,7098,3309,1223,825,16683,304063.0,30662.0,34109.0,15481.0,170.0,1746.0,0.2501229306671037,200.40522875816993,222.9346405228758,25.193556671083133,100.34409389026585,19.902811645560735,83.17799403035944,36.695996932476895,10.381460531954618,32.31124332425273,42.69270385620734,24.40483180428135,9.17851029650217,25.851400559873085,23.66203113134963,17.773589728809903,12.360313669273891,20.732847308022922,7.356040689791713,4.962169721241343,Playoffs
17,2016 - 2017,1502,36672.40000000002,5898,12757,1610,4450,2852,3660,1940,3130,1454,4874,6328,3397,1158,712,16258,304243.0,30661.0,33853.0,15356.0,181.0,1790.0,0.2729738894540522,200.3986928104575,221.26143790849673,24.991763588597053,106.39936300869311,22.231432903218757,83.48730925709792,38.599055420425145,9.515603014801316,31.897557836411014,41.41316085121233,24.415712383488696,10.536534287365969,29.122718993030162,23.95261831786301,18.66471788047686,12.696196594714273,20.484069763636946,7.578451369422232,4.659635038884826,Playoffs
18,2017 - 2018,1512,38251.50000000001,6151,13479,1692,4793,2751,3579,1997,3260,1453,5357,6810,3497,1161,763,16745,300444.0,30307.0,33346.0,15123.0,172.0,1736.0,0.2750772232157373,200.7086092715232,220.83443708609272,24.861595805249173,105.06254656680127,21.941100349005918,84.57080114505312,38.59299635308418,9.116505235088818,33.6112309321203,42.72773616720912,25.298611111111114,10.616054272381474,30.072546174659813,22.45558997686365,17.260499588251438,12.529704717462058,20.45409983922199,7.284420218814947,4.787263244578643,Playoffs
19,2018 - 2019,1470,38052.600000000006,6089,13689,1801,5173,3052,3894,2020,3450,1592,5452,7044,3636,1105,780,17031,284706.0,28678.0,31308.0,14206.0,155.0,1542.0,0.2957792741008376,200.54545454545453,218.93706293706293,24.700749251529334,107.41552482616167,22.932467163873163,86.33733306002742,38.40368332255877,10.040838208164486,34.38608662745778,44.42692483562226,25.886122448979595,11.359013575944875,32.6264171173586,24.5596884312767,19.249144605099254,12.74025953548509,21.759354157140375,6.969300389460903,4.919506157266519,Playoffs
20,2019 - 2020,1460,38561.299999999974,6255,13625,2106,5821,3038,3836,2148,3446,1392,5474,6866,3687,1124,678,17654,278866.0,28006.0,30510.0,13840.0,138.0,1417.0,0.3366906474820144,200.04285714285714,217.92857142857142,24.70369728109751,109.87596372528941,22.94735913986304,84.80004564161483,38.93022278813217,8.663608332706632,34.0693908141064,42.73299914681303,26.411849315068476,13.107441917155292,36.2290690407222,23.874713767430055,18.90807623186979,13.368843892711096,21.447409708697595,6.995614774398171,4.219774748257971,Playoffs
